doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.6084/m9.figshare.13059355.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 3 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:37Z,2023-07-25T03:35:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,,repository
10.6084/m9.figshare.13059364,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 6 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:37Z,2023-07-25T03:35:13Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4394345674,0,17,20,,repository
10.6084/m9.figshare.13059364.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 6 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:40Z,2023-07-25T03:35:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,,repository
10.6084/m9.figshare.13059361,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 5 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:41Z,2023-07-25T03:35:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4394150011,0,17,20,,repository
10.6084/m9.figshare.13059361.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 5 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:44Z,2023-07-25T03:35:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,,repository
10.5281/zenodo.4110675,cern.zenodo,Zenodo,2020,Text,Understanding the Impact of COVID-19 on Agriculture and Food Supply Chains: System Dynamics Modeling for the Resilience of Smallholder Farmers,Zenodo,2020-10-20T18:34:35Z,2020-10-21T12:30:47Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,,repository
10.5281/zenodo.4110674,cern.zenodo,Zenodo,2020,Text,Understanding the Impact of COVID-19 on Agriculture and Food Supply Chains: System Dynamics Modeling for the Resilience of Smallholder Farmers,Zenodo,2020-10-20T18:34:37Z,2020-10-21T12:30:51Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,,repository
10.23699/j865-cz77,snd.rise,Research Institutes of Sweden,2020,Text,"Recommended precautions because of Covid-19 for perceptual, behavioural, quality and user experience experiments with test persons in indoor labs",RISE Research Institutes of Sweden,2020-10-23T06:32:52Z,2020-11-06T06:53:37Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,19,,repository
10.13140/rg.2.2.27423.79525,rg.rg,ResearchGate,2020,Text,Active Network Management for All – ANM4L a collaborative research project,RISE Research Institutes of Sweden,2020-11-02T08:48:48Z,2025-10-18T03:46:01Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.6084/m9.figshare.c.5204824,figshare.ars,figshare Academic Research System,2020,Collection,Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:44:55Z,2024-08-16T06:48:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,19,,repository
