doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5281/zenodo.7849268,cern.zenodo,2023,Other,Questionnaire instrument for InnerSource readiness assessment,Zenodo,0,1,0,0,0,2023-04-20T14:29:54Z,2023-04-20T14:29:54Z,1,,,,,6,Zenodo,repository
10.5281/zenodo.7898863,cern.zenodo,2023,Dataset,Minimal paths in Code Review at Microsoft,Zenodo,0,1,0,1,0,2023-05-05T18:25:04Z,2023-06-15T10:19:06Z,1,1,OPEN,108,114,7,Zenodo,repository
10.5281/zenodo.7898862,cern.zenodo,2023,Dataset,The Upper Bound of Information Diffusion in Code Review,Zenodo,0,1,0,0,1,2023-05-05T18:25:05Z,2025-09-22T13:07:08Z,1,1,OPEN,11,15,9,Zenodo,repository
10.5281/zenodo.7933498,cern.zenodo,2022,Dataset,Supporting dataset for tertiary study on source code metrics,Zenodo,0,1,0,1,0,2023-05-13T21:27:02Z,2023-05-14T06:34:16Z,1,1,OPEN,5,6,9,Zenodo,repository
10.5281/zenodo.7966347,cern.zenodo,2023,Dataset,Cassandra Replication Kit,Zenodo,0,1,0,1,0,2023-05-24T12:54:05Z,2023-05-24T12:54:06Z,1,1,OPEN,3,10,3,Zenodo,repository
10.5281/zenodo.7966346,cern.zenodo,2023,Dataset,Cassandra Replication Kit,Zenodo,0,1,0,0,0,2023-05-24T12:54:07Z,2023-05-24T12:54:07Z,1,1,OPEN,3,10,3,Zenodo,repository
10.5281/zenodo.8009571,cern.zenodo,2023,Software,GiulioRossetti/dynetx: v0.3.2,Zenodo,0,1,0,1,0,2023-06-06T08:34:54Z,2023-06-06T08:43:51Z,1,,,,,2,Zenodo,repository
10.5281/zenodo.8009585,cern.zenodo,2023,Software,GiulioRossetti/dynetx: v0.3.2,Zenodo,0,1,0,1,0,2023-06-06T08:43:48Z,2023-06-06T08:43:51Z,1,,,,,2,Zenodo,repository
10.5281/zenodo.8031141,cern.zenodo,2023,Other,"Supplementary Material for ""Investigating the relationship between personalities and agile team climate: a replicated study""",Zenodo,0,1,0,1,0,2023-06-13T03:09:38Z,2023-10-24T02:37:44Z,1,,,,,15,Zenodo,repository
10.5281/zenodo.8031140,cern.zenodo,2023,Other,"Supplementary Material for ""Investigating the relationship between personalities and agile team climate: a replicated study""",Zenodo,0,1,0,0,1,2023-06-13T03:09:39Z,2023-10-24T02:37:45Z,1,,,,,15,Zenodo,repository
10.5281/zenodo.8033165,cern.zenodo,2023,Software,JulianFrattini/cira-eval: Preliminary archive,Zenodo,0,1,0,1,0,2023-06-13T12:38:57Z,2023-06-13T13:41:32Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8033164,cern.zenodo,2023,Software,JulianFrattini/cira-eval: Workshop evaluation,Zenodo,0,1,0,0,1,2023-06-13T12:38:58Z,2023-06-13T13:41:32Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8033347,cern.zenodo,2023,Software,JulianFrattini/cira: Demo Version,Zenodo,0,1,0,1,0,2023-06-13T13:05:59Z,2023-06-13T13:06:00Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8033346,cern.zenodo,2023,Software,JulianFrattini/cira: Demo Version,Zenodo,0,1,0,0,0,2023-06-13T13:06:00Z,2023-06-13T13:06:01Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8033435,cern.zenodo,2023,Software,JulianFrattini/cira-ui: Demo Version,Zenodo,0,1,0,1,0,2023-06-13T13:20:43Z,2023-06-13T13:20:44Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8033434,cern.zenodo,2023,Software,JulianFrattini/cira-ui: Demo Version,Zenodo,0,1,0,0,0,2023-06-13T13:20:45Z,2023-06-13T13:20:45Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8033534,cern.zenodo,2023,Software,JulianFrattini/cira-eval: Workshop evaluation,Zenodo,0,1,0,1,0,2023-06-13T13:41:30Z,2023-06-13T13:41:32Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.8034167,cern.zenodo,2023,Other,"Supplementary Material for ""Investigating the relationship between personalities and agile team climate: a replicated study""",Zenodo,0,1,0,1,0,2023-06-13T17:17:42Z,2023-10-24T02:37:45Z,1,,,,,15,Zenodo,repository
10.6084/m9.figshare.23512829,figshare.ars,2023,Text,Additional file 1 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0,2023-06-14T03:25:44Z,2023-06-14T03:25:46Z,1,,,,,16,figshare Academic Research System,repository
10.6084/m9.figshare.23512829.v1,figshare.ars,2023,Text,Additional file 1 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0,2023-06-14T03:25:44Z,2023-06-14T03:25:46Z,1,,,,,16,figshare Academic Research System,repository
10.6084/m9.figshare.23512832,figshare.ars,2023,Text,Additional file 2 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0,2023-06-14T03:25:45Z,2023-06-14T03:25:47Z,1,,,,,16,figshare Academic Research System,repository
10.6084/m9.figshare.23512832.v1,figshare.ars,2023,Text,Additional file 2 of The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0,2023-06-14T03:25:45Z,2023-06-14T03:25:47Z,1,,,,,16,figshare Academic Research System,repository
10.6084/m9.figshare.c.6694925,figshare.ars,2023,Collection,The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0,2023-06-14T03:25:47Z,2023-06-14T03:25:48Z,1,1,OPEN,,,12,figshare Academic Research System,repository
10.6084/m9.figshare.c.6694925.v1,figshare.ars,2023,Collection,The meaning of sedentary behavior among older adults: a phenomenological hermeneutic study,figshare,0,1,0,1,0,2023-06-14T03:25:47Z,2023-06-14T03:25:48Z,1,1,OPEN,,,12,figshare Academic Research System,repository
10.5281/zenodo.8042256,cern.zenodo,2023,Dataset,The Upper Bound of Information Diffusion in Code Review,Zenodo,0,1,0,1,0,2023-06-15T10:19:04Z,2025-09-22T13:07:08Z,1,1,OPEN,11,15,9,Zenodo,repository
10.5281/zenodo.8060722,cern.zenodo,2023,Dataset,Acceptance Behavior Theories and Models in Software Engineering,Zenodo,0,1,0,1,0,2023-06-20T16:03:43Z,2024-04-26T08:50:31Z,1,1,OPEN,10,7,8,Zenodo,repository
10.5281/zenodo.8060721,cern.zenodo,2023,Dataset,Acceptance Behavior Theories and Models in Software Engineering,Zenodo,0,1,0,0,1,2023-06-20T16:03:44Z,2024-04-26T08:50:31Z,1,1,OPEN,10,7,8,Zenodo,repository
10.6084/m9.figshare.23614125,figshare.ars,2023,Dataset,Additional file 1 of Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0,2023-07-02T03:12:17Z,2023-07-02T03:12:19Z,1,1,OPEN,,,14,figshare Academic Research System,repository
10.6084/m9.figshare.23614125.v1,figshare.ars,2023,Dataset,Additional file 1 of Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0,2023-07-02T03:12:17Z,2023-07-02T03:12:18Z,1,1,OPEN,,,14,figshare Academic Research System,repository
10.6084/m9.figshare.c.6723036,figshare.ars,2023,Collection,Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0,2023-07-02T03:12:17Z,2023-07-02T03:12:18Z,1,1,OPEN,,,10,figshare Academic Research System,repository
10.6084/m9.figshare.c.6723036.v1,figshare.ars,2023,Collection,Bibliometric mining of research directions and trends for big data,figshare,0,1,0,1,0,2023-07-02T03:12:17Z,2023-07-02T03:12:18Z,1,1,OPEN,,,10,figshare Academic Research System,repository
10.5281/zenodo.8135747,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,1,0,2023-07-11T13:43:32Z,2024-05-19T14:58:15Z,1,1,OPEN,2,24,6,Zenodo,repository
