doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.60692/867k4-6gz90,iapx.bsycxq,2021,Text,THE IMPACT OF ONLINE LEARNING ON TEACHER-STUDENT TRUST AT UNIVERSITY LEVEL DURING PANDEMIC 2020,OpenAlex,0,1,0,1,0,2024-07-29T11:46:05Z,2024-07-29T11:46:06Z,1,,,,,14,Greater South Information System,repository
10.60692/90y54-bev16,iapx.bsycxq,2021,Text,THE IMPACT OF ONLINE LEARNING ON TEACHER-STUDENT TRUST AT UNIVERSITY LEVEL DURING PANDEMIC 2020,OpenAlex,0,1,0,0,1,2024-07-29T11:46:05Z,2024-07-29T11:46:06Z,1,,,,,14,Greater South Information System,repository
10.60692/5rvvx-9xj71,iapx.bsycxq,2021,Text,Impact of Green Human Resource Management on Service Recovery: Mediating Role of Environmental Commitment and Moderation of Transformational Leadership,OpenAlex,0,1,0,1,0,2024-07-30T07:01:11Z,2024-07-30T07:01:42Z,1,,,,,19,Greater South Information System,repository
10.60692/9fktq-32h39,iapx.bsycxq,2021,Text,Impact of Green Human Resource Management on Service Recovery: Mediating Role of Environmental Commitment and Moderation of Transformational Leadership,OpenAlex,0,1,0,0,1,2024-07-30T07:01:11Z,2024-07-30T07:01:42Z,1,,,,,19,Greater South Information System,repository
10.5281/zenodo.13298108,cern.zenodo,2024,JournalArticle,"Floods and Food Security in Gatumba Zone, Burundi",Zenodo,0,1,0,0,1,2024-08-12T04:07:13Z,2024-08-12T04:07:14Z,1,,,,,8,Zenodo,repository
10.5281/zenodo.13298110,cern.zenodo,2024,JournalArticle,"Floods and Food Security in Gatumba Zone, Burundi",Zenodo,0,1,0,1,0,2024-08-12T04:07:13Z,2024-08-12T04:07:14Z,1,,,,,8,Zenodo,repository
10.5281/zenodo.15053465,cern.zenodo,2025,Dataset,Governance Gaps and Cycle of Instability: Interview Data and Codebook from Four Districts of Northern Balochistan,Zenodo,0,1,0,0,1,2025-03-19T19:41:32Z,2025-03-19T19:41:33Z,1,,,,,16,Zenodo,repository
10.5281/zenodo.15053466,cern.zenodo,2025,Dataset,Governance Gaps and Cycle of Instability: Interview Data and Codebook from Four Districts of Northern Balochistan,Zenodo,0,1,0,1,0,2025-03-19T19:41:32Z,2025-03-19T19:41:33Z,1,,,,,16,Zenodo,repository
10.5281/zenodo.15625454,cern.zenodo,2015,JournalArticle,Public Service Motivation: Incidence and Antecedents in Pakistan,Zenodo,0,1,0,0,1,2025-06-09T16:32:08Z,2025-06-09T16:32:09Z,1,,,,,8,Zenodo,repository
10.5281/zenodo.15625455,cern.zenodo,2015,JournalArticle,Public Service Motivation: Incidence and Antecedents in Pakistan,Zenodo,0,1,0,1,0,2025-06-09T16:32:08Z,2025-06-09T16:32:09Z,1,,,,,8,Zenodo,repository
